ParticipantID,Employee_AvgDuration,Employee_StdDuration,Employee_MedianDuration,Employee_SuccessRate,Employee_AvgErrors,Employee_AvgReliability
P001,32.295833333333334,5.426092226626069,33.56666666666666,0.75,0.25,81.075
P002,23.022222222222222,12.668819261536628,24.45,1.0,0.3333333333333333,88.10000000000001
P004,18.494444444444444,9.901351385505883,18.683333333333334,1.0,0.0,90.39999999999999
P005,22.900000000000002,11.22040551851848,19.0,1.0,0.6666666666666666,97.56666666666666
P006,20.416666666666664,4.478342947514799,20.416666666666664,1.0,0.0,88.55
P007,21.616666666666667,,21.616666666666667,1.0,2.0,95.3
P008,22.704166666666666,8.953815398207917,23.55833333333333,0.75,0.75,92.125
P009,28.513888888888886,11.303369294480625,29.325,1.0,0.3333333333333333,90.16666666666667
P010,23.583333333333332,23.805928299947098,23.583333333333332,1.0,0.0,92.6
P011,22.46111111111111,9.882115345598008,21.15,0.6666666666666666,1.0,85.23333333333333
P012,30.91944444444444,15.439402754232672,26.9,0.8333333333333334,1.1666666666666667,93.31666666666666
P013,44.983333333333334,21.30748433975463,44.983333333333334,1.0,0.5,92.1
P014,19.15833333333333,11.017330623797857,17.558333333333334,1.0,0.75,90.35
P015,19.8,6.2448793838246806,18.783333333333335,0.8571428571428571,1.0,87.94285714285715
P018,31.706666666666667,6.339312966630442,30.666666666666668,0.8,0.4,88.67999999999999
P020,27.12142857142857,9.304836029988573,23.783333333333335,0.7142857142857143,0.7142857142857143,91.52857142857144
P021,27.46111111111111,18.2816873562752,28.316666666666666,1.0,0.0,86.8
P022,27.28095238095238,21.320950026978398,19.433333333333334,1.0,0.14285714285714285,91.07142857142857
P023,29.86111111111111,14.273244848965442,32.46666666666667,1.0,0.0,91.13333333333333
P024,26.90625,11.344255722471413,29.15,0.875,1.0,92.15
P025,28.450000000000003,12.885176668473655,29.783333333333335,0.6666666666666666,0.6666666666666666,97.16666666666667
P026,30.36666666666667,16.267704884900702,28.533333333333335,1.0,0.0,89.7
P027,17.466666666666665,,17.466666666666665,1.0,0.0,89.8
P028,14.041666666666668,3.0052038200428286,14.041666666666668,1.0,0.0,81.8
P029,39.0875,10.418247657800194,36.25,1.0,0.25,85.875
P030,22.618518518518517,12.028852595035257,21.266666666666666,1.0,0.2222222222222222,89.19999999999999
P031,42.46666666666667,9.270158215118732,38.85,1.0,0.0,90.5
P032,22.883333333333333,14.613540144521982,22.883333333333333,1.0,0.0,97.65
P033,9.683333333333334,,9.683333333333334,1.0,2.0,88.0
P034,25.3875,26.07173996878613,13.775,0.75,1.25,91.55
P035,20.391666666666666,14.937118195957346,15.308333333333334,1.0,0.0,93.25
