ParticipantID,Employee_AvgDuration,Employee_StdDuration,Employee_MedianDuration,Employee_SuccessRate,Employee_AvgErrors,Employee_AvgReliability,Employee_AvgDistance,Employee_AvgTravelTime
P001,32.295833333333334,5.426092226626069,33.56666666666666,0.75,0.25,81.075,3.9959294707076594,14.395341030177706
P002,23.022222222222222,12.668819261536628,24.45,1.0,0.3333333333333333,88.10000000000001,5.849516175963821,54.0208863779765
P004,18.494444444444444,9.901351385505883,18.683333333333334,1.0,0.0,90.39999999999999,5.9118280678641675,31.11529141813834
P005,22.900000000000002,11.22040551851848,19.0,1.0,0.6666666666666666,97.56666666666666,5.343898882498703,19.138547525118295
P006,20.416666666666664,4.478342947514799,20.416666666666664,1.0,0.0,88.55,5.972470758308329,17.559283267915532
P007,21.616666666666667,,21.616666666666667,1.0,2.0,95.3,1.8007154898096294,43.21717175543111
P008,22.704166666666666,8.953815398207917,23.55833333333333,0.75,0.75,92.125,5.662074184037307,65.15298399976723
P009,28.513888888888886,11.303369294480625,29.325,1.0,0.3333333333333333,90.16666666666667,4.615348765471183,18.56658262371797
P010,23.583333333333332,23.805928299947098,23.583333333333332,1.0,0.0,92.6,6.305408980247551,47.65297261893622
P011,22.46111111111111,9.882115345598008,21.15,0.6666666666666666,1.0,85.23333333333333,3.2886119552205795,13.261258143417628
P012,30.91944444444444,15.439402754232672,26.9,0.8333333333333334,1.1666666666666667,93.31666666666666,4.654738330850077,23.9865719520443
P013,44.983333333333334,21.30748433975463,44.983333333333334,1.0,0.5,92.1,4.717003374582266,12.12290050884027
P014,19.15833333333333,11.017330623797857,17.558333333333334,1.0,0.75,90.35,4.056565869238763,23.683168746454335
P015,19.8,6.2448793838246806,18.783333333333335,0.8571428571428571,1.0,87.94285714285715,3.8878136313603897,26.661941843234107
P018,31.706666666666667,6.339312966630442,30.666666666666668,0.8,0.4,88.67999999999999,4.725563784331227,21.405578034499598
P020,27.12142857142857,9.304836029988573,23.783333333333335,0.7142857142857143,0.7142857142857143,91.52857142857144,3.340470355193723,15.648699734388213
P021,27.46111111111111,18.2816873562752,28.316666666666666,1.0,0.0,86.8,5.991940519815402,19.887369089765254
P022,27.28095238095238,21.320950026978398,19.433333333333334,1.0,0.14285714285714285,91.07142857142857,5.188932032202296,36.53947424141146
P023,29.86111111111111,14.273244848965442,32.46666666666667,1.0,0.0,91.13333333333333,4.168684169503378,23.2050342201038
P024,26.90625,11.344255722471413,29.15,0.875,1.0,92.15,5.012535712537569,20.65272467203795
P025,28.450000000000003,12.885176668473655,29.783333333333335,0.6666666666666666,0.6666666666666666,97.16666666666667,4.420940311667027,21.303845093326174
P026,30.36666666666667,16.267704884900702,28.533333333333335,1.0,0.0,89.7,5.58984026976243,29.627788331185513
P027,17.466666666666665,,17.466666666666665,1.0,0.0,89.8,5.65805760198122,45.26446081584976
P028,14.041666666666668,3.0052038200428286,14.041666666666668,1.0,0.0,81.8,5.394794165037175,41.18381340586359
P029,39.0875,10.418247657800194,36.25,1.0,0.25,85.875,5.442564309108988,14.525218464041995
P030,22.618518518518517,12.028852595035257,21.266666666666666,1.0,0.2222222222222222,89.19999999999999,5.652745143002284,34.96260194520872
P031,42.46666666666667,9.270158215118732,38.85,1.0,0.0,90.5,6.1687082882619935,24.613530595755282
P032,22.883333333333333,14.613540144521982,22.883333333333333,1.0,0.0,97.65,4.337593047309366,33.193989473864576
P033,9.683333333333334,,9.683333333333334,1.0,2.0,88.0,5.269725048624125,42.157800388993
P034,25.3875,26.07173996878613,13.775,0.75,1.25,91.55,4.695319290835263,44.3460341044019
P035,20.391666666666666,14.937118195957346,15.308333333333334,1.0,0.0,93.25,6.9502643098959425,34.51358342310158
P036,20.522222222222222,11.134671202050727,25.016666666666666,1.0,0.2222222222222222,87.14444444444445,3.875251370231693,23.120802994547724
P037,23.611111111111114,8.150005680525172,23.6,0.3333333333333333,2.0,92.06666666666666,5.754949838900327,34.767657364303474
P038,23.129166666666666,5.436287114620843,25.116666666666667,1.0,0.0,92.525,4.178185374688143,14.214751731774461
P039,23.23095238095238,12.133674554769392,23.583333333333332,0.8571428571428571,0.2857142857142857,93.57142857142857,4.774653070949688,42.1850415843581
P040,34.827777777777776,26.89117127595212,20.783333333333335,1.0,0.0,93.53333333333335,5.117646605081724,41.03734888264422
P041,12.466666666666667,10.441610135521353,12.466666666666667,1.0,0.5,85.5,4.638730705521613,21.601471171211507
P042,18.25,15.60348963818315,18.25,1.0,1.0,93.9,6.37336395457714,50.10381864219274
P043,29.983333333333334,12.302024825808749,26.633333333333333,1.0,0.0,94.725,4.691687869261995,15.887395500508273
P044,34.30833333333334,15.634349054897372,37.85,1.0,0.25,87.65,5.241242348099732,16.29006986832545
P045,17.228571428571428,2.8688091845861994,16.166666666666668,1.0,0.2857142857142857,88.98571428571428,5.100989689229967,22.348047769213903
P046,35.4375,25.466609856684745,36.1,1.0,0.25,92.375,4.794362318375575,37.641513937296885
P047,24.245833333333334,11.420484965703157,21.375,0.75,0.25,85.9,6.173249508633316,35.00729338272008
P048,36.18,3.788201713507642,36.75,0.8,0.6,84.7,6.607538008975903,23.939512957348438
P049,25.5,,25.5,1.0,0.0,100.0,5.7144328871768355,11.428865774353671
P050,28.820833333333333,5.2714355167646145,29.708333333333336,1.0,0.0,92.125,4.467865206305332,37.97878787688932
P051,15.166666666666668,4.784755886028972,15.166666666666668,1.0,0.0,81.95,3.185874191779309,8.282554598024838
P052,28.343333333333334,15.516535087161408,29.483333333333334,0.8,0.2,90.97999999999999,5.446762358122663,32.962713011776266
P053,22.494444444444444,11.49983494245477,16.766666666666666,0.6666666666666666,0.6666666666666666,89.7,6.234414335773908,17.48163964507915
P054,17.803333333333335,4.7951567000232425,16.65,1.0,0.2,87.94000000000001,4.908437582733932,18.922179306856485
P055,50.3,,50.3,1.0,0.0,84.5,4.222850523393141,12.668551570179423
P056,40.93888888888889,11.450768209713816,35.083333333333336,0.0,1.3333333333333333,91.89999999999999,5.1280674505313115,17.2371529680479
P057,36.513333333333335,16.598123220546487,35.9,1.0,0.0,93.08,5.831754326070816,18.927531962778364
P058,27.57777777777778,20.885463667167954,17.033333333333335,0.6666666666666666,0.6666666666666666,87.5,4.233382492325838,31.540155485933496
P059,44.50833333333333,2.180245908658518,44.50833333333333,1.0,0.0,96.55,3.641904442470039,10.925713327410119
P060,28.155555555555555,14.103374957264137,24.25,0.8333333333333334,0.3333333333333333,91.43333333333334,5.205408921301395,33.19389973808721
P061,36.458333333333336,28.64960975107495,36.458333333333336,1.0,0.0,91.65,7.334363541999427,29.647055209539207
P062,16.533333333333335,22.391714737574006,16.533333333333335,1.0,0.0,93.15,2.9650269801228877,53.2839738542283
P063,23.477777777777778,6.545022140131752,19.85,1.0,0.0,88.53333333333335,5.513642335118942,14.103498029857311
P064,22.058333333333334,8.411615646103773,19.766666666666666,0.75,0.75,91.3,6.86071992186165,21.8762029952293
P065,43.96111111111111,33.904974779740144,34.233333333333334,1.0,0.0,87.10000000000001,4.830328902797174,22.43626701226341
P066,11.416666666666668,4.1012193308819755,11.416666666666668,1.0,0.0,96.1,5.881334421654513,70.57601305985416
P067,20.099999999999998,9.198792191248684,23.766666666666666,1.0,0.3333333333333333,86.66666666666667,4.32320045599761,12.528666337481043
P068,27.98333333333333,10.7470990917963,22.95,1.0,0.0,93.42,6.456523270701314,36.61956584525193
P069,26.858333333333334,10.6731794353538,24.683333333333334,1.0,0.25,92.25,4.854569031441272,11.278872712920482
P070,25.205555555555552,5.956282086696055,24.46666666666667,1.0,0.3333333333333333,91.03333333333335,5.409318854796258,11.819019076109393
P071,30.975,7.2296265463715335,28.408333333333335,0.75,0.5,94.95,3.3831751542368824,12.597085334109284
P072,22.916666666666668,,22.916666666666668,1.0,2.0,86.2,8.353211530070277,25.05963459021083
P073,26.75,0.4949747468305853,26.75,1.0,0.0,88.0,6.858601455768879,24.857967916472106
P074,15.541666666666668,12.221162201507497,15.541666666666668,1.0,1.0,88.55000000000001,5.676395661107679,77.93082892880089
P075,14.583333333333332,3.252691193458119,14.583333333333332,1.0,0.0,89.9,2.837627880266867,17.3849433547668
P076,17.272222222222222,4.374462929997914,18.616666666666667,1.0,0.0,92.16666666666667,5.753081533019549,15.578734121235414
P077,33.59375,9.746549806722406,31.591666666666665,1.0,0.0,90.0625,4.42600520627834,12.4139982426167
P078,20.529166666666665,8.360877099504327,21.808333333333334,0.75,0.5,92.1125,4.536470206465989,13.653047716302993
P079,16.308333333333334,4.3722769303368185,16.308333333333334,1.0,0.0,76.55,4.154160821004673,33.1198032016837
P080,18.15833333333333,8.117579232295338,19.383333333333333,1.0,0.5,95.175,5.476257903776207,27.555484776775415
P081,27.87222222222222,16.508535951417958,23.966666666666665,0.6666666666666666,1.0,86.43333333333334,4.286460482166889,12.308860434613521
P082,34.49166666666667,31.006632355030106,34.49166666666667,1.0,0.0,88.1,5.15420707194241,52.778724247158856
P083,25.31,5.922574515266896,23.866666666666667,0.8,0.2,95.26,6.038037465066721,19.831620493751068
P084,22.98888888888889,7.32392325545891,23.825,1.0,0.0,94.33333333333333,5.028613849436916,15.798604094816328
P085,19.505555555555556,26.14071076423247,8.7,0.6666666666666666,0.6666666666666666,93.83333333333333,5.116158620467464,53.679921341750834
P086,22.572222222222223,4.5069185498314495,23.0,1.0,0.0,95.13333333333333,5.9136189192856365,15.883159101964921
P087,27.541666666666668,12.174993345499741,25.108333333333334,1.0,0.5,87.7,4.713215852568958,14.212222828352036
P088,38.9,9.903576794942996,44.416666666666664,1.0,0.0,99.33333333333333,7.196395338607279,27.697462525696185
P089,32.24333333333333,12.656989724610225,32.46666666666667,1.0,0.0,93.14,5.336391213856288,18.73185821387061
P090,35.266666666666666,7.91959594928933,35.266666666666666,1.0,1.0,90.8,4.074779373350573,8.149558746701146
P091,34.65833333333333,14.35327585528049,30.525,0.8333333333333334,0.3333333333333333,90.10000000000001,4.034049882691078,12.108165097287772
P092,27.679166666666667,18.356013118119975,22.475,1.0,0.0,88.925,5.401739699618805,15.322933691467579
P093,20.46666666666667,17.253655007305294,25.166666666666668,1.0,0.0,97.0,3.676713392796453,10.92432506921642
P094,30.54375,21.176276291627975,29.34166666666667,0.875,0.375,89.425,4.855203493045969,25.526212830837494
P095,22.563333333333333,6.598825653099194,22.133333333333333,1.0,0.0,91.7,3.609669668048821,8.1083258355285
P096,28.84166666666667,14.041357563363386,33.68333333333333,1.0,0.0,88.4,4.47724508542669,29.180096686696004
P097,36.3,,36.3,1.0,0.0,97.7,7.370417995559262,21.05833713016932
P098,28.816666666666666,13.228900041057695,30.883333333333333,0.8571428571428571,0.5714285714285714,91.24285714285715,5.783057875535696,25.499165825912392
P099,27.848484848484848,9.406556385325239,26.35,0.8181818181818182,0.45454545454545453,88.60909090909091,4.048948998101909,18.955070475273313
P100,20.125,16.675934922982748,20.125,1.0,0.0,91.5,4.043507637149849,16.174030548599397
P101,33.69444444444445,15.210854433350962,28.8,1.0,0.6666666666666666,95.89999999999999,2.729385839632725,10.39852010962766
P102,24.6375,10.815200025302424,24.083333333333332,0.875,0.375,84.425,5.165536901694623,17.404455770696707
P103,24.990000000000002,16.65747496537882,28.65,1.0,0.4,88.78,5.691004168237999,40.92910947456624
